Sample Type,File Name,Path,Instrument Method,Position,Inj Vol,Sample Name
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B9,5,Syn_10-30_filtrate_2 neg
Unknown,CMP008_022723_Lumos_BC_MM_10_10_filtrate_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C1,5,MM_10-10_filtrate_3 neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_B1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C2,5,Syn_10-30_filtrate_B1 neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_B3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C3,5,Syn_10-30_filtrate_B3 neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_13,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_B4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C4,5,Syn_10-30_filtrate_B4 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_B4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C5,5,Tpsu_9-24_filtrate_B4 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_B2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C6,5,Tpsu_9-24_filtrate_B2 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_B1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C7,5,Tpsu_9-24_filtrate_B1 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_B3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C8,5,Tpsu_9-24_filtrate_B3 neg
Unknown,CMP010_022723_Lumos_BC_Croco_10_7_filtrate_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:C9,5,Croco_10-7_filtrate_3 neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:D1,5,Syn_10-30_filtrate_1 neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_14,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP008_022723_Lumos_BC_MM_10_10_filtrate_B3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:D2,5,MM_10-10_filtrate_B3 neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:D3,5,Ehux_9-22_filtrate_1 neg
